Gene(KO)	Gene Description	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
K02077	ABC.ZM.S; zinc/manganese transport system substrate-binding protein	175.502399	365.302417	167.255303	292.7036616	96.18650794	221.6255051	160.542298	105.3490801	287.0558442	373.9710317	329.1082071	263.6702201	449.7773629	420.5572872
K02078	acpP; acyl carrier protein	1142.731908	2006.073088	847.5830267	1291.826353	909.634127	1307.853986	697.631722	1757.750234	2120.708171	2383.682179	2241.30974	2104.147655	2208.337861	1954.883178
K02079	agaA; N-acetylgalactosamine-6-phosphate deacetylase EC:3.5.1.25	0	0	0	0	1.05	0.375	0	0	0	0	0	0.25	0	0
K02080	agaI; galactosamine-6-phosphate isomerase EC:5.3.1.-	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0
K02081	"agaR; DeoR family transcriptional regulator, aga operon transcriptional repressor"	107.7444444	258.4416667	79.925	166.6888889	52.44642857	139.652381	109.55	258.2194444	289.5603175	367.1166667	252.2694444	154.3674603	511.0924603	286.1706349
K02082	agaS; tagatose-6-phosphate ketose/aldose isomerase EC:5.-.-.-	31.625	75.40833333	11.45833333	10.525	7.958333333	30.58253968	4.375	196.3666667	151.390873	113.7222222	43.40277778	20.43015873	122.7	77.78055556
K02083	allC; allantoate deiminase EC:3.5.3.9	248.1931818	189.3607864	221.9522727	272.8542929	284.0833333	318.5454545	122.9266234	56.39451659	195.7952381	232.4881313	488.9152958	572.2924603	491.5825036	258.0652237
K02086	dnaD; DNA replication protein	2.578463203	0.461111111	0	1.506493506	0	0.083333333	9.060545936	10.27409812	13.34862915	0.731782107	2.70494228	0.510353535	4.196428571	4.099000999
K02092	apcA; allophycocyanin alpha subunit	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02093	apcB; allophycocyanin beta subunit	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02094	apcC; phycobilisome core linker protein	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02095	apcD; allophycocyanin-B	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02096	apcE; phycobilisome core-membrane linker protein	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02097	apcF; phycobilisome core component	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02099	"araC; AraC family transcriptional regulator, arabinose operon regulatory protein"	2.486111111	5.936111111	2.5	3.875	2.216666667	6.791666667	8.273809524	4.139285714	8.384920635	5.704365079	3.888888889	1.953968254	5.613095238	8.63452381
K02100	"araE; MFS transporter, SP family, arabinose:H+ symporter"	0.424242424	1.23015873	0	0.2	0.5	0.375	0.396103896	1.729437229	0.448051948	2.571428571	0	1.25	0.071428571	0.642857143
K02103	"araR; GntR family transcriptional regulator, arabinose operon transcriptional repressor"	0.272727273	0.1	0	0.090909091	0	0.083333333	0.924723425	1.694191919	0.871212121	0.305555556	1.222222222	0.274242424	1	0.274242424
K02106	atoE; short-chain fatty acids transporter	220.8477273	62.6984127	164.0611111	180.6974747	236.715873	225.7448413	83.82616643	44.37135642	146.5529942	82.05880231	434.6104978	487.1462662	454.4769841	141.662475
K02107	"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"	0.125	0	1	2	3	0	6	0	0	0.083333333	0.625	5	4	0
K02108	"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"	575.8084416	965.7516234	441.3743506	675.5321789	508.7384921	773.5350289	352.2153439	807.8666306	1009.139592	1090.314719	1177.979618	1187.180375	1177.491649	944.3884707
K02109	"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"	853.7080628	1150.650866	676.0157648	973.2108405	807.3634921	1160.452201	470.243753	835.0415043	1215.454365	1299.15083	1751.726209	1826.225198	1863.398972	1217.769567
K02110	"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"	580.412013	966.24329	444.3243506	676.8405123	510.8170635	780.7516955	353.8653439	803.620202	1007.997926	1090.256385	1183.846284	1202.363709	1181.041649	936.4187088
K02111	"ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha EC:3.6.3.14"	577.3334416	964.6016234	441.3271284	676.9210678	509.2801587	775.3100289	352.3153439	806.6999639	1006.950703	1088.203608	1180.243506	1193.460931	1173.294426	942.6679151
K02112	"ATPF1B, atpD; F-type H+-transporting ATPase subunit beta EC:3.6.3.14"	579.3584416	965.31829	442.3243506	677.1321789	511.1384921	779.8350289	352.6153439	806.4499639	1008.931259	1090.964719	1181.596284	1202.647042	1177.624982	944.181804
K02113	"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"	554.4237193	966.24329	426.1187951	655.0224567	468.0051587	682.9433622	336.1695106	802.4569084	990.0590368	1109.064719	1115.583784	1102.233153	1124.891649	920.3873596
K02114	"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"	589.9973304	1028.276623	453.2410173	678.1321789	514.3607143	781.5878066	354.9486772	833.7832973	1058.445148	1127.631385	1187.596284	1203.966486	1186.638871	963.8345818
K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"	582.1084416	1003.651623	442.9493506	677.5071789	511.1384921	779.9600289	353.1153439	826.9916306	1034.889592	1102.714719	1182.971284	1202.022042	1179.041649	953.931804
K02116	atpI; ATP synthase protein I	442.9834416	699.0266234	304.2493506	414.8016234	396.0801587	512.4544733	201.4268158	729.0209235	807.5897186	721.7174964	825.2823954	889.5428752	723.7944264	664.199503
K02117	"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A EC:3.6.3.14 3.6.3.15"	79.125	4.283333333	95.83333333	7.25	62.5	11.33333333	12.66666667	0	33	27.48888889	86.95833333	116.875	48.91666667	10.54166667
K02118	"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"	79.125	4.283333333	95.83333333	7.25	62.5	11.33333333	12.66666667	0	33	27.48888889	86.95833333	116.875	48.91666667	10.54166667
K02119	"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"	78.625	3.95	95.5	7.25	62.5	9	12.5	0	32.16666667	26.98888889	85.125	116.2083333	48.25	8.791666667
K02120	"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"	78.625	3.95	95.5	7.25	62.5	9.833333333	12.5	0	32.5	27.32222222	85.625	116.2083333	48.25	9.208333333
K02121	"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"	0.625	0.45	1	2.25	3	0.833333333	6	0	1.5	1.488888889	0.125	6.708333333	9.75	1.208333333
K02122	"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"	78.625	3.95	95.5	7.25	62.5	8.5	12.5	0	32.16666667	26.73888889	85.125	115.375	48	8.791666667
K02123	"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"	79.125	4.283333333	95.83333333	7.25	62.5	11.33333333	12.66666667	0	33	27.48888889	86.95833333	116.9583333	48.91666667	10.54166667
K02124	"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"	79.125	4.283333333	95.83333333	7.25	62.5	11.33333333	12.66666667	0	33	27.48888889	86.95833333	116.875	48.91666667	10.54166667
K02160	"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein"	561.534127	899.86829	411.782684	618.8581169	463.4892857	654.5374098	323.9520803	793.1049784	987.6483405	1030.165152	1113.253211	1103.215729	1129.592045	865.7907257
K02164	norE; nitric oxide reductase NorE protein	35.35972222	61.29166667	34.5	50.22083333	34.25833333	84.20833333	25.2375	16.17638889	53.22222222	59.325	58.4625	64.725	99.41944444	122.7538889
K02167	"betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"	31.80992063	37.0234127	14.30555556	28.83888889	24.46031746	51.43650794	10.34206349	34.20238095	53.85595238	47.46984127	69.41994949	47.17281746	52.19365079	88.7056746
K02168	"betT, betS; choline/glycine/proline betaine transport protein"	44.87619048	128.7011905	44.24444444	88.94444444	20.95952381	24.17380952	25.79166667	84.56547619	114.2315476	121.5444444	81.55	54.20456349	50.41507937	178.9924603
K02169	bioC; malonyl-CoA O-methyltransferase EC:2.1.1.197	171.4988456	525.8579365	82.30238095	123.7766234	111.9531746	168.784127	66.18066378	688.0191558	596.0798701	490.4376984	263.8466089	278.2424964	187.830754	384.8791417
K02170	bioH; pimeloyl-acyl-carrier protein methyl ester esterase EC:3.1.1.85	30.46987734	15.80119048	20.46111111	22.16709957	18.26309524	34.16785714	17.36677489	32.66240981	34.81439394	18.37380952	74.3287518	89.57463925	61.24702381	79.80255439
K02171	"blaI; BlaI family transcriptional regulator, penicillinase repressor"	0.75	0.375	0.75	1.25	0	0.583333333	0.904761905	1.377380952	3.630952381	0.571428571	3.222943723	1.583333333	2.571428571	5.202380952
K02172	blaR1; bla regulator protein blaR1	0	0.125	0	0	0	0.083333333	0.738095238	0.90515873	3.214285714	0.265873016	1.000721501	0.083333333	0.071428571	2.535714286
K02173	yggC; putative kinase	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0	0
K02182	caiC; carnitine-CoA ligase EC:6.2.1.48	202.5135101	204.65	198.4416667	249.2713384	278.6333333	528.9103175	221.6162879	38.89128788	226.0392316	237.0770202	486.3041667	563.0458333	845.6555556	341.501443
K02188	cbiD; cobalt-precorrin-5B (C1)-methyltransferase EC:2.1.1.195	136.8212843	175.3349567	136.4049062	94.62611833	80.09484127	56.74891775	53.28807119	73.21994949	156.9562771	185.640873	170.3089827	180.4533911	127.8785534	201.4447872
K02189	cbiG; cobalt-precorrin 5A hydrolase EC:3.7.1.12	185.5842172	257.7266234	178.8822872	157.9759199	120.2111111	140.127886	86.8407227	87.06621573	219.8842893	281.1992063	260.586562	262.6424784	280.6464105	343.5808189
K02190	cbiK; sirohydrochlorin cobaltochelatase EC:4.99.1.3	0.125	0	0	0.125	0	1.5	0.125	4.75	1	0.083333333	0.772727273	0.125	0	0
K02191	cbiT; cobalt-precorrin-6B (C15)-methyltransferase EC:2.1.1.196	78.125	3.5	95.5	7.125	62.75	8.5	12.625	4.75	32	25.58333333	85.77272727	114.875	42.5	8
K02192	bfd; bacterioferritin-associated ferredoxin	130.1261905	429.2412698	62.26071429	81.83452381	108.0781746	169.2507937	39.33055556	581.9444444	499.4238095	426.7380952	190.1039683	217.2238095	142.6392857	345.8599206
K02193	ccmA; heme exporter protein A EC:3.6.3.41	196.3097403	275.2496392	186.8021284	293.0645743	183.4888889	353.7429654	155.3881313	70.93538961	248.7740981	331.0718254	471.7241703	462.5174423	562.0854978	438.29193
K02194	ccmB; heme exporter protein B	216.1639069	366.5829726	201.0937951	360.1326299	192.7805556	395.9512987	188.742298	105.2478896	303.3227092	491.7384921	538.7450036	515.4966089	682.8354978	508.8058189
K02195	ccmC; heme exporter protein C	396.5389069	376.5829726	341.0937951	489.1326299	430.7805556	615.7262987	245.742298	110.2478896	375.5477092	513.7384921	889.3450036	963.1549423	996.5021645	566.8058189
K02196	ccmD; heme exporter protein D	87.97521645	116.2170996	74.50530303	107.5550505	129.9833333	261.4933622	45.84924242	34.98142136	111.8300505	124.927381	201.695202	266.0382756	237.2731962	224.8403427
K02197	ccmE; cytochrome c-type biogenesis protein CcmE	398.4871392	375.2849928	339.6796537	490.7487915	413.7805556	587.0129149	246.5554293	110.0408189	377.4388709	517.4607143	888.5429834	949.6955988	986.45671	556.8638997
K02198	ccmF; cytochrome c-type biogenesis protein CcmF	377.5222403	360.0913059	320.8687951	460.2326299	414.3888889	583.584632	226.3756313	108.0812229	369.6227092	484.6801587	836.0700036	941.0382756	958.0271645	536.1629618
K02199	"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"	148.7722403	221.5496392	125.9521284	213.393741	163.1388889	323.6262987	91.87563131	62.24788961	208.3588203	273.5829365	338.5144481	410.1910534	452.4854978	357.3613745
K02200	ccmH; cytochrome c-type biogenesis protein CcmH	300.6403139	436.9659452	271.5237013	432.4083153	340.9638889	671.6748196	216.1304293	118.3189935	390.7765693	515.1071429	721.4969517	805.4313131	947.8245671	749.027114
K02201	E2.7.7.3B; pantetheine-phosphate adenylyltransferase EC:2.7.7.3	78	3.5	95.5	7	62.5	8.5	12.5	0	31	25.5	85	114.5	42.5	8
K02203	thrH; phosphoserine / homoserine phosphotransferase EC:3.1.3.3 2.7.1.39	17.58690476	10.18333333	6.422222222	18.27777778	38.55714286	49.375	7.791666667	24.88214286	24.44126984	17.33611111	40.79722222	59.02619048	27.83055556	57.58214286
K02204	thrB2; homoserine kinase type II EC:2.7.1.39	237.0994228	659.8905123	150.9271284	258.9840188	108.3051587	216.0489177	119.427417	706.1421356	703.7824315	666.2992063	410.2325036	345.006728	377.5404582	567.6641522
K02205	"rocE, rocC; arginine/ornithine permease"	0.525974026	0.4	0	0.272727273	0.357142857	0.5	1.623376623	2.135786436	6.988672439	0.142857143	2.056493506	0.415584416	3.142857143	1.694322344
K02217	"ftnA, ftn; ferritin EC:1.16.3.2"	264.251443	54.37777778	235.5833333	170.9287157	287.7166667	213.1027778	76.746152	23.57676768	124.905267	112.0294012	449.547114	561.213925	355.6595238	82.50735931
K02221	yggT; YggT family protein	327.277886	838.5349567	253.9799062	436.59329	215.4496032	411.8572511	242.2260582	759.9777417	829.1909812	847.7313853	634.7157287	534.9470418	645.9055375	766.4103755
K02224	"cobB-cbiA; cobyrinic acid a,c-diamide synthase EC:6.3.5.9 6.3.5.11"	218.0399711	416.1349567	214.6215729	234.4094517	158.4281746	220.4489177	105.3448894	124.5441919	295.2124639	379.7936508	356.1296176	377.6381133	347.7368867	423.2855808
K02225	"cobC1, cobC; cobalamin biosynthetic protein CobC"	128.9708514	347.0655123	85.91323954	128.7173521	95.83452381	224.959632	58.20479798	280.1211039	333.8677489	337.2138889	188.4047258	215.3458153	240.6924423	335.3824062
K02226	"cobC, phpB; alpha-ribazole phosphatase EC:3.1.3.73"	126.2602092	426.3329365	77.79126984	166.782684	90.7031746	159.4785714	79.24424002	324.0005772	359.4902237	415.3290043	208.3121934	226.2321789	212.2051587	366.5527958
K02227	"cbiB, cobD; adenosylcobinamide-phosphate synthase EC:6.3.1.10"	403.5921717	1027.408369	298.7322872	392.9972583	221.118254	341.7179654	200.896657	976.781241	1017.39706	1008.983766	605.9502525	562.9710498	488.9164502	814.9548449
K02228	cobF; precorrin-6A synthase EC:2.1.1.152	63.92420635	136.1428571	67.16666667	117.0083333	54.66666667	140.5428571	50.225	37.7297619	107.6069444	135.4416667	127.9388889	121.7331349	192.9611111	233.7818651
K02229	cobG; precorrin-3B synthase EC:1.14.13.83	71.56549423	176.9663059	74.29419192	135.3175505	60.18928571	158.1770924	56.18396465	44.49074675	128.1237013	163.2055556	149.1771465	136.0458153	215.4462121	258.5538348
K02230	cobN; cobaltochelatase CobN EC:6.6.1.2	120.1714466	308.1821789	105.9132395	199.9826299	94.04404762	208.07114	80.09229798	88.79669913	209.1135823	310.0638889	223.3033369	217.299982	278.379347	384.1768506
K02231	"cobP, cobU; adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase EC:2.7.1.156 2.7.7.62"	196.0112193	574.9349567	153.7882395	301.2738456	159.8162698	324.3683622	143.9827682	346.0677489	459.6020202	567.2976551	364.0212843	371.3879149	352.9952201	523.4377814
K02232	"cobQ, cbiP; adenosylcobyric acid synthase EC:6.3.5.10"	329.1520924	737.2266234	264.857684	335.71829	230.4392857	355.7905844	166.8101491	713.8613636	773.083171	752.1984488	519.2157287	517.0214466	474.2591089	641.3643687
K02233	"E2.7.8.26, cobS, cobV; adenosylcobinamide-GDP ribazoletransferase EC:2.7.8.26"	277.8695527	581.9766234	253.7410173	324.7349567	226.3988095	348.8072511	163.3101491	356.0427489	495.3784091	595.7420996	455.7379509	501.9531926	417.4099026	557.0461147
K02234	cobW; cobalamin biosynthesis protein CobW	97.30299423	239.452417	72.32752525	139.5494949	64.30952381	148.7405844	58.14646465	66.31991342	155.7987013	225.0805556	155.8479798	141.7513709	212.9662518	266.79193
K02236	comC; leader peptidase (prepilin peptidase) / N-methyltransferase EC:3.4.23.43 2.1.1.-	2.467352092	0.35	0	1.381493506	0	0.083333333	8.852212602	4.652633478	12.04862915	0.620670996	1.968831169	0.285353535	4.196428571	2.915667666
K02237	comEA; competence protein ComEA	739.0223304	480.2286075	593.4021284	696.0071789	785.8063492	767.1108225	340.0820106	180.5499639	558.256259	472.2480519	1474.924062	1623.671843	1364.249188	599.7834707
K02238	comEC; competence protein ComEC	522.9066739	907.1314214	398.7602092	599.142785	424.2253968	576.5002165	315.6423641	790.750469	950.3321429	1022.745274	1043.975325	1010.008532	1057.210083	868.3415515
K02239	comER; competence protein ComER	0.602453102	0.211111111	0	0.5254329	0	0.083333333	1.356000481	8.479906205	6.772366522	0.265873016	1.40494228	0.510353535	1.071428571	1.803546454
K02240	comFA; competence protein ComFA	2.467352092	0.25	0	1.506493506	0	0	8.977212602	8.499098124	12.82085137	0.620670996	2.593831169	0.327020202	4.196428571	2.832334332
K02241	comFB; competence protein ComFB	1.375	0.125	0	0.875	0	0	6.25	1.299242424	4.861111111	0.458333333	1.272727273	0.111111111	3.125	1.458333333
K02242	comFC; competence protein ComFC	2.592352092	0.25	0	1.381493506	0	0	8.721260221	3.769300144	12.01529582	0.704004329	2.616558442	0.202020202	4.196428571	3.915667666
K02243	comGA; competence protein ComGA	2.467352092	0.125	0	1.381493506	0	0	8.280784031	3.372474747	9.023232323	0.549242424	2.147402597	0.202020202	4.125	2.546620047
K02244	comGB; competence protein ComGB	2.467352092	0.25	0	1.381493506	0	0	8.637926888	3.769300144	11.84862915	0.620670996	2.218831169	0.202020202	4.196428571	2.832334332
K02245	comGC; competence protein ComGC	2.467352092	0.25	0	1.381493506	0	0	8.637926888	3.769300144	11.84862915	0.620670996	2.218831169	0.202020202	4.196428571	2.832334332
K02246	comGD; competence protein ComGD	2.467352092	0.25	0	1.381493506	0	0	8.637926888	3.5748557	11.03751804	0.620670996	1.918831169	0.202020202	4.196428571	2.749000999
K02247	comGE; competence protein ComGE	0.233766234	0	0	0.233766234	0	0	0.660654161	0.285714286	2.805194805	0.071428571	0.525974026	0.090909091	1.071428571	0.285714286
K02248	comGF; competence protein ComGF	1.921897547	0.25	0	1.108766234	0	0	7.183381433	3.29455267	10.44458874	0.529761905	2.218831169	0.202020202	4.196428571	2.286879787
K02249	comGG; competence protein ComGG	0.324675325	0	0	0.233766234	0	0	0.842472342	0.376623377	2.896103896	0.071428571	0.668831169	0.090909091	1.071428571	0.362637363
K02250	comK; competence protein ComK	4.752886003	0.375	0	2.672077922	0	0	16.55507456	7.161976912	20.69004329	1.16991342	3.518831169	0.313131313	7.321428571	4.795621046
K02251	comQ; competence protein ComQ	0.285714286	0.111111111	0	0.410714286	0	0.083333333	0.220238095	4.944444444	1	0.111111111	0.486111111	0.208333333	0	0.083333333
K02253	comX; competence protein ComX	0.285714286	0.111111111	0	0.285714286	0	0	0.095238095	0	0	0	0	0	0	0
K02254	comZ; competence protein ComZ	0.181818182	0	0	0.090909091	0	0	0.811688312	0.558441558	3.189033189	0.071428571	0.668831169	0.202020202	1.071428571	0.453546454
K02255	ftnB; ferritin-like protein 2	0	0.857142857	0	0	0.5	0.375	0	0.142857143	0.142857143	0.285714286	0	0.535714286	0	0.571428571
K02258	"COX11, ctaG; cytochrome c oxidase assembly protein subunit 11"	234.4680736	644.5738456	145.2132395	246.2645743	165.831746	307.3262987	114.504798	691.8155483	675.8189394	638.1269841	400.9856782	406.5608947	379.8979978	538.6046284
K02259	"COX15, ctaA; cytochrome c oxidase assembly protein subunit 15"	709.9832792	950.5099567	614.2521284	661.410588	583.0670635	680.3322511	360.5179954	795.0104798	1051.316811	1100.147655	1269.806475	1299.877435	1213.331331	923.5266453
K02274	"coxA, ctaD; cytochrome c oxidase subunit I EC:1.9.3.1"	1070.202525	1538.783838	882.1821789	1110.074026	942.3511905	1309.036833	607.3386965	988.505303	1565.892947	1586.958766	2075.965548	2112.453157	2263.732089	1457.421299
K02275	"coxB, ctaC; cytochrome c oxidase subunit II EC:1.9.3.1"	1655.64816	1683.375902	1311.65956	1552.644661	1620.261508	1891.988817	786.3168711	1027.827201	1832.27509	1736.6671	3175.47785	3450.666649	3301.570978	1679.394235
K02276	"coxC, ctaE; cytochrome c oxidase subunit III EC:1.9.3.1"	676.4832612	1248.44412	531.07886	841.6590548	528.7865079	814.4871212	430.0784752	886.2988456	1245.356548	1436.086544	1348.534235	1284.060913	1670.846988	1255.188139
K02277	"coxD, ctaF; cytochrome c oxidase subunit IV EC:1.9.3.1"	469.9617965	183.9611111	360.8666667	389.4398268	476.9833333	467.8083333	180.4105459	61.51576479	288.562518	182.4512266	948.8993867	1003.990909	905.6214286	220.8073343
K02278	"cpaA, tadV; prepilin peptidase CpaA EC:3.4.23.43"	440.2569625	695.8420996	302.7354618	364.4034632	351.031746	467.7310606	165.4222583	983.777886	1000.902273	752.0246032	770.6463925	809.1956169	741.3819264	659.7272475
K02279	"cpaB, rcpC; pilus assembly protein CpaB"	513.4006133	829.7373377	378.071176	480.8713203	435.3734127	601.2671717	242.2996392	1025.713203	1120.187987	892.7079365	924.4920274	948.331728	1016.583911	860.1756602
K02280	"cpaC, rcpA; pilus assembly protein CpaC"	487.5922799	780.0762266	346.8628427	424.7574315	417.8353175	573.827886	196.8520202	1002.583405	1055.232431	834.5690476	843.5059163	892.3233947	886.194228	800.403438
K02281	cpaD; pilus assembly protein CpaD	79.91212121	140.2242424	83.54974747	128.4022727	93.71666667	208.6616162	49.72424242	17.68181818	115.7800505	154.1027778	179.3868687	202.3807359	299.1767677	187.0758586
K02282	"cpaE, tadZ; pilus assembly protein CpaE"	484.0395022	757.2059885	351.9322872	442.1046537	396.002381	562.1290765	209.5555916	989.1882035	1045.579654	847.7912698	854.8948052	879.9148629	871.3914502	796.5312157
K02283	"cpaF, tadA; pilus assembly protein CpaF"	605.3089466	1062.101227	484.4183983	687.8602092	456.2253968	662.6731241	322.4341631	1111.353355	1288.328265	1155.26627	1138.198773	1046.426172	1130.848593	1087.255422
K02284	cpcA; phycocyanin alpha chain	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02285	cpcB; phycocyanin beta chain	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02286	cpcC; phycocyanin-associated rod linker protein	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0
K02287	"cpcD; phycocyanin-associated, rod"	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02288	cpcE; phycocyanobilin lyase subunit alpha EC:4.4.1.32	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02289	cpcF; phycocyanobilin lyase subunit beta EC:4.4.1.32	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0
K02290	cpcG; phycobilisome rod-core linker protein	0	0	0	0	1	0	0	0	0	0	0	1	0	0
K02291	crtB; 15-cis-phytoene synthase EC:2.5.1.32	547.20864	964.612013	430.64329	608.1535895	475.1646825	695.7431818	281.9136544	746.3620671	980.6289502	956.6893218	1101.463366	1112.188672	1134.595978	823.8628716
K02293	"PDS, crtP; 15-cis-phytoene desaturase EC:1.3.5.5"	11	6.25	4.25	19	8.75	19	9.214285714	3.5	5.5	10.625	26.5	25.5	15	10
K02294	crtR; beta-carotene hydroxylase EC:1.14.13.-	0.75	2.75	0.75	0.75	1.75	2	0	1.5	0.875	0.75	3	0.75	1.5	4
K02297	cyoA; cytochrome o ubiquinol oxidase subunit II EC:1.10.3.10	166.8605339	532.0321789	94.81323954	137.8117965	68.26984127	156.5179654	58.07741703	691.248088	647.3328283	591.1865079	227.9325036	184.9743867	243.6555375	458.4431205
K02298	cyoB; cytochrome o ubiquinol oxidase subunit I EC:1.10.3.10	169.5744228	535.2405123	98.39657287	146.1451299	71.29484127	166.884632	60.86313131	689.8869769	652.0133838	603.3531746	237.0991703	198.0354978	253.349982	458.1931205
K02299	cyoC; cytochrome o ubiquinol oxidase subunit III	191.8181097	557.9071789	112.0632395	186.4027056	76.16984127	190.634632	82.18347763	693.3049062	670.0777778	639.0198413	290.8037157	234.0430736	318.349982	481.2006962
K02300	cyoD; cytochrome o ubiquinol oxidase subunit IV	177.0625541	551.5738456	105.4799062	161.236039	70.6031746	166.6012987	69.68347763	692.9715729	658.5222222	619.6865079	255.3870491	204.8430736	288.099982	467.1173629
K02301	unclassified	719.0366883	955.0694805	613.5687951	662.1619769	591.0218254	696.4251082	366.1015993	815.5059885	1063.029744	1103.828608	1283.996753	1326.07803	1213.59026	969.5220208
K02302	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase EC:2.1.1.107 1.3.1.76 4.99.1.4	321.189899	282.8551948	283.080303	380.9828283	397.1428571	542.5715368	178.2409091	83.3508658	277.1044553	308.8392857	664.8146465	812.4991883	660.9698232	439.7398665
K02303	cobA; uroporphyrin-III C-methyltransferase EC:2.1.1.107	794.0388889	1133.43254	568.0884921	689.9656926	668.9551587	697.052381	324.1161857	1369.251479	1448.317388	1312.136147	1384.5807	1462.289592	1216.579167	994.9850327
K02304	MET8; precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase EC:1.3.1.76 4.99.1.4	134.8367965	54.95277778	148.575	82.59816017	100.8722222	90.15277778	73.28554594	21.21020924	108.0347403	103.8151154	232.8387807	218.792298	338.2492063	105.1620352
K02305	norC; nitric oxide reductase subunit C	231.1234127	68.08809524	177.902381	197.4261905	260.525	274.9968254	93.49166667	35.28174603	138.2357143	106.275	440.8539683	526.3027778	420.2206349	242.1415873
K02313	dnaA; chromosomal replication initiator protein	563.8112193	990.54329	435.1437951	691.6877345	475.2051587	702.5378066	353.7462963	820.6027417	1016.947926	1136.570274	1155.410173	1131.830375	1148.738871	955.4206136
K02314	dnaB; replicative DNA helicase EC:3.6.4.12	636.1163961	1159.113961	462.8296537	710.7136183	485.2575397	722.0367244	388.0727213	1206.385191	1323.934921	1324.2671	1243.509542	1152.120833	1210.435877	1078.784726
K02315	dnaC; DNA replication protein DnaC	234.3571429	54.73333333	176.7222222	182.125	244.7246032	234.8154762	115.75	28.17777778	138.6849206	95.79642857	463.8633117	501.4708333	562.0972222	112.6083333
K02316	dnaG; DNA primase EC:2.7.7.-	533.8687951	935.66829	402.2021284	627.2349567	464.1384921	678.8683622	313.7888288	798.6103175	985.2305014	1041.414719	1050.044012	1082.635931	1090.016649	896.7734707
K02317	dnaT; DNA replication protein DnaT	0	2.369047619	0	0	0.5	0.375	0	0.511904762	0.654761905	1.666666667	0	0.25	0.321428571	1.083333333
K02319	"pol; DNA polymerase, archaea type EC:2.7.7.7"	156	7	190	12	122	17	20.5	0	62	51	170	224	82	16
K02322	polC; DNA polymerase II large subunit EC:2.7.7.7	78	3.5	95.5	7	62.5	8.5	12.5	0	31	25.5	85	114.5	42.5	8
K02323	polB; DNA polymerase II small subunit EC:2.7.7.7	78	3.5	95.5	7	62.5	8.5	12.5	0	31	25.5	85	114.5	42.5	8
K02334	dpo; DNA polymerase bacteriophage-type EC:2.7.7.7	738.6470779	1124.839755	589.7681457	767.4157648	578.1718254	814.9946609	371.3637807	887.2634921	1179.791991	1166.617893	1399.558189	1389.073773	1500.214051	1042.306274
K02335	polA; DNA polymerase I EC:2.7.7.7	682.9449856	1340.388203	506.670671	785.124026	491.743254	739.6225469	403.4554954	1439.284235	1534.393741	1517.167496	1312.068434	1185.820022	1267.649946	1225.675743
